event_id,begin_lat,begin_lon
5271327,30124443,-100488132
5336427,29766733,-100277946
5155516,31882064,-106307438
5317858,31620231,-106137341
5149046,322995189,-972958031
5263478,29686214,-95904324
5318432,29523635,-95899512
5335581,29422676,-95754337
5392785,29498754,-95584837
5320746,288657633,-993875821
5174435,29458496,-95160035
5263470,29288239,-95042284
5299873,29282701,-94814243
5313769,2941166,-94719937
5315236,2955394,-94437408
5319696,29400466,-94920917
5373829,29475038,-95038935
5271164,30316794,-992261205
5230870,325134493,-950634093
5159053,305434557,-965568354
5266186,29597924,-9809258
5273251,29544319,-97848173
5148665,317159136,-986756596
5255244,303118474,-946820641
5149701,29931717,-95729572
5149614,29969816,-95474234
5318433,29980113,-95118758
5319695,29627185,-95339811
5331344,2969748,-9561235
5230776,32558574,-949330823
5272971,300531891,-985641555
5365944,358374772,-1005510495
5327927,26447435,-98325892
5327740,26430953,-98258865
5327616,26650257,-98080098
5148674,32395835,-981221284
5363097,323058529,-1017149915
5263473,29075396,-96733412
5373833,28860546,-96520029
5255245,28860546,-96520029
5140929,30010717,-9432962
5168135,29903684,-94280501
5255243,2975891,-94278808
5270332,29713581,-93986868
5323148,29929204,-94003435
5319534,29982635,-94121727
5371183,3012145,-94212077
5371182,29904028,-94147754
5379804,270702066,-992469175
5149051,323442447,-976318819
5307028,327371402,-1001593981
5260984,28882902,-98009569
5266199,29062136,-97738928
5319096,300348597,-998982546
5306949,304985363,-999895159
5243868,293468035,-974609152
5149989,30400735,-94924074
5158071,30230023,-95023865
5318436,3020046,-94732478
5331893,29926315,-94695398
5271163,307036496,-989374593
5230775,32784013,-945163829
5306948,3071933,-995044052
5316751,29058664,-96020932
5315364,28830996,-96144361
5373834,28769618,95859623
5391309,286404238,-100950063
5162181,312159224,-999077342
5174854,29517962,-99303976
5174122,29218084,-99121146
5320744,29527999,-98843849
5162179,30898878,-1000804601
5235968,35952043,-102027306
5312867,35984961,-101693063
5352634,358022793,-1019949847
5237485,307134322,-942701619
5168136,3019518,-94035527
5255247,30208774,-93968708
5270331,30233508,-93837841
5323149,30040968,-93882536
5319593,30142818,-93730826
5238886,34566979,-102987746
5349584,34465485,-102623955
5242440,30728846,-103072953
5330366,30725999,-102213141
5404776,308165584,-95429635
5312763,354011518,-102175309
5301976,299390032,-1055084154
5365646,349650687,-1021761114
5392946,3154033,-103907571
5392662,31235608,-103371203
5242439,313784155,-1046783092
5319138,308970996,-1008190101
5288135,327355873,-996342256
5327928,265093411,-993069577
5319137,30666168,-100431942
5319135,30319842,-100681611
5148763,32589729,-97444224
5148766,32645646,-97154578
5148670,3276994,-97498919
5260846,32812017,-97155198
5158623,32417634,-99912391
5306950,32188825,-99877357
5307100,31525539,-10040212
5369669,31205878,-100338959
5272972,303251788,-983316931
5353718,29758321,-1023517676
5149800,325955574,-96323517
5150929,30919691,-95515053
5159617,30713505,-95666848
5159600,30574043,-95386104
5263474,29280008,-96400686
5315368,29216665,-96142621
5327735,264552457,-978660113
5272979,306534927,-981631321
5260989,29171751,-98078852
5266187,29068224,-98002441
5266138,29093209,-98263343
5320656,29288523,-97899122
5230777,327759658,-95968248
5417570,32358498,-1027743897
5527298,27958745,-971104097
718519,28145265,-970046437
5478487,28940591,-953502737
837,28946179,-952951517
136460,289471914,-953231371
5403466,3055006,-963046667
5407084,34613049,-1009662387
720927,2860801,-966590147
5416363,25947206,-974478677
5478431,29774342,-948844517
60862,297821944,-945778276
136548,31922165,-952762247
129249,26078602,-971642817
129251,26550135,-974283097
13745,33198598,-967021787
5410381,29881987,-982724177
5526882,29858358,-982652717
5532218,33993169,-1003069547
16292,34227292,-1002336007
159645,34221571,-1001142797
5412160,32838173,-96738887
5412090,32737957,-96876611
13743,32945938,-96960129
5498944,32690975,-96588275
5426148,327423008,-1022288476
720264,290809247,-974956262
5423978,349663151,-1028855693
13746,33295896,-96920509
591321,33109115,-9711793
5421911,31877853,-102537573
5426147,32004822,-102453179
5421846,31748065,-102434989
5530613,31969137,-106042248
5531710,31783864,-106151457
5531711,31898262,-106365559
5530524,31867541,-106518811
5534693,31855005,-106543655
5531708,31833621,-10633246
5526632,31642328,-106150877
202388,31408556,-106029406
5412161,322995189,-972958031
318386,34078790,-10111186
357769,34008815,-101382541
136503,295242875,-963170981
836,29225624,-95045841
60861,29489161,-94942542
5478432,29315716,-94997861
135388,29128813,-95082261
721002,28645348,-97570696
13744,33679264,-96750439
75380,33494615,-96829328
5410385,29638206,-97890191
86711,340676309,-1023875654
146918,345302376,-1009612772
5475144,30351785,-9436461
136889,3018705,-94410423
5478433,29848469,-95478568
5513988,29949439,-95827462
5513982,29923304,-95180672
136433,29751866,-95226105
5471310,332034218,-99843387
5410384,33187191,-99582919
207238,336064075,-1026259059
5410564,323724599,-982969838
5478484,31231298,-95411658
136491,31419206,-954106
202390,31468796,-105473733
5423403,35730185,-101552524
5534932,35891969,-101199972
5425505,289679804,-971844674
136890,30826745,-94019221
5475145,30476951,-94021724
5475146,29733805,-9425122
136891,29919222,-94126583
199889,2983335,-94110573
60388,29996051,-94288597
5412168,323442447,-976318819
5518828,29919222,-94126583
84181,336590897,-961434744
16273,34182276,-102303081
207235,340109227,-1023432469
136439,30236786,-94902844
5478434,30050574,-94689446
5465827,33767052,-101728519
5497429,33707849,-101860896
5515553,33702837,-101684769
16278,33616228,-101811689
137892,33529634,-102063126
68712,33521163,-101769435
207239,33657893,-1015969
157145,33444366,-101728536
277969,33427723,-101949399
346463,33644928,-101859705
357759,33531421,-101755664
5496426,3362107,-101969684
136463,287535624,-965060095
5424708,286404238,-100950063
5405785,3190133,-102111289
5421466,31820424,-101931522
5402343,307827386,-975243207
13751,337113768,-982921607
5478486,303272,-95620212
136437,30254644,-95298928
136475,315329401,-951995992
5475147,307134322,-942701619
5518534,277767174,-977434359
201463,277865701,-977472375
703535,277865701,-977472375
720925,277767174,-977434359
5475148,300543886,-941833253
136892,300543886,-941833253
60389,300543886,-941833253
13752,32806214,-98420434
5410968,32692008,-98203894
5410658,327790026,-980857211
5413882,30884582,-103038692
5417328,30672414,-102500924
5403449,30782141,-94830778
5478435,30984602,-94721966
136481,30639439,-94639298
5459064,354011518,-102175309
5427304,35014112,-101829717
5486345,34902959,-101953773
5427265,31332539,-101541099
720951,2834901,-97069828
5402416,31056465,-96499843
136550,31284151,-93902152
370659,31469339,-9386542
136479,313752104,-947519613
136469,30670432,-95272927
5478436,30499808,-95161014
720923,279998459,-978027187
5407489,312042642,-993140488
16288,331786126,-1005342358
357766,345299665,-1020151501
5410478,32850692,-97406744
5410961,32717779,-97341091
5498687,3265014,-97120216
5512682,3291826,-97136754
13742,32782242,-9724472
5413684,30235117,-102084583
5413741,29955577,-102250717
5413743,30373508,-101761052
5413744,30379877,-102061648
5413812,29992351,-101981629
16287,331737647,-1026154624
5478485,31194429,-95000625
136484,31014125,-95188847
5475149,30870591,-94373292
136893,30677047,-94297355
145984,29915503,-101184137
5425827,28874483,-96984707
721006,28696399,-97013118
5478488,30849415,-95542587
136500,30686678,-95579346
5411831,29334262,-961749
5425581,2925818,-96321081
5424924,306534927,-981631321
5398665,29263059,-98111385
5410561,33127793,-97750052
13748,33195084,-9753419
207240,33242979,-102808601
662673,3307415,-102895647
